,,,,,,,,,,,,,
Model,"Annual
MPG",,,,,,Model,M,PG,Annual,,,
Conguration,Fuel,GHG,,,,,Conguration,,,Fuel,GHG,,
"(trans, eng size, cyl) C",omb City/Hwy Cost,Rating,,,N,otes,"(trans, eng size, cyl)",Comb,City/Hwy,Cost,Rating,Not,es
,,,,,,,,,,,,,
,TWO-SEATER CAR,S,,,,,SF90 Stradale,,,,,,
,,,,,,,"AM-8, 3.9L, 8cyl",,See pag,e 42.,,PR T PHEV,SS
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ACURA,,,,,,,FORD,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
NSX Hybrid,,,,,,,GT,,,,,,
"AM-S9, 3.5L, 6cyl","21 21/22 $2,900",4,PR,T HE,V,SS,,,,,,,
,,,,,,,"AM-7, 3.5L, 6cyl",14,12/18,"$4,350",2,PR T Tax,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
ASTON MARTIN,,,,,,,JAGUAR,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Vantage V8,,,,,,,F-Type P450 AWD,R-Dy,namic Co,nverti,ble,,
"A-8, 4.0L, 8cyl","20 18/24 $3,050",4,P T,,,,,,,,,,
,,,,,,,"A-S8, 5.0L, 8cyl",18,16/24,"$3,400",3,P S SS,
,,,,,,,,,,,,,
AUDI,,,,,,,F-Type P450 AWD,R-Dy,namic Co,upe,,,
,,,,,,,"A-S8, 5.0L, 8cyl",18,16/24,"$3,400",3,P S SS,
R8 Coupe,,,,,,,,,,,,,
,,,,,,,,,,,,,
"AM-S7, 5.2L, 10cyl","15 13/19 $4,100",2,PR,Tax,C,D,F-Type P450 RWD,Conv,ertible,,,,
,,,,,,,"A-S8, 5.0L, 8cyl",19,17/24,"$3,200",4,P S SS,
R8 Coupe RWD,,,,,,,,,,,,,
,,,,,,,,,,,,,
"AM-S7, 5.2L, 10cyl","17 14/23 $3,600",3,PR,Tax,C,D,F-Type P450 RWD,Coup,e,,,,
,,,,,,,"A-S8, 5.0L, 8cyl",19,17/24,"$3,200",4,P S SS,
R8 Spyder,,,,,,,,,,,,,
,,,,,,,,,,,,,
"AM-S7, 5.2L, 10cyl","15 13/19 $4,100",2,PR,Tax,C,D,F-Type R AWD Con,verti,ble,,,,
,,,,,,,"A-S8, 5.0L, 8cyl",18,16/24,"$3,400",3,P S SS,
R8 Spyder RWD,,,,,,,,,,,,,
,,,,,,,,,,,,,
"AM-S7, 5.2L, 10cyl","17 14/23 $3,600",3,PR,Tax,C,D,F-Type R AWD Cou,pe,,,,,
,,,,,,,"A-S8, 5.0L, 8cyl",18,16/24,"$3,400",3,P S SS,
