,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes,Year
0,ASTON MARTIN,Vantage V12,A-8,5.2L,12cyl,16,14,22,"$3,800",3,"['P', 'T', 'Tax', 'CD']",2023
1,ASTON MARTIN,Vantage V8,A-8,4.0L,8cyl,20,18,24,"$3,050",4,"['P', 'T']",2023
2,AUDI,R8 Coupe quattro,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'CD']",2023
3,AUDI,R8 Coupe RWD,AM-S7,5.2L,10cyl,17,14,23,"$3,600",3,"['PR', 'Tax', 'CD']",2023
4,AUDI,R8 GT RWD,AM-S7,5.2L,10cyl,17,14,21,"$3,600",3,"['PR', 'Tax', 'CD']",2023
5,AUDI,R8 Spyder quattro,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'CD']",2023
6,AUDI,R8 Spyder RWD,AM-S7,5.2L,10cyl,17,14,23,"$3,600",3,"['PR', 'Tax', 'CD']",2023
7,AUDI,TT Roadster,AM-S7,2.0L,4cyl,25,23,30,"$1,900",5,"['T', 'SS']",2023
8,BMW,Z4 M40i,A-S8,3.0L,6cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']",2023
9,BMW,Z4 sDrive30i,A-S8,2.0L,4cyl,28,25,33,"$2,200",6,"['P', 'T', 'SS']",2023
10,BUGATTI,Chiron,AM-S7,8.0L,16cyl,11,9,14,"$5,550",1,"['PR', 'T', 'Tax']",2023
11,BUGATTI,Chiron Pur Sport,AM-S7,8.0L,16cyl,9,8,11,"$6,800",1,"['PR', 'T', 'Tax']",2023
12,BUGATTI,Chiron Super Sport,AM-S7,8.0L,16cyl,9,8,11,"$6,800",1,"['PR', 'T', 'Tax']",2023
13,CHEVROLET,Corvette,A-S8,6.2L,8cyl,19,16,24,"$2,500",4,['CD'],2023
14,CHEVROLET,Corvette Z06,A-S8,5.5L,8cyl,15,12,21,"$4,100",2,"['PR', 'Tax']",2023
15,CHEVROLET,Corvette Z06 Carbon Aero,A-S8,5.5L,8cyl,14,12,19,"$4,350",2,"['PR', 'Tax']",2023
16,CHEVROLET,812 Competizione,AM-7,6.5L,12cyl,14,12,16,"$4,350",2,"['PR', 'Tax', 'SS']",2023
17,CHEVROLET,812 Competizione A,AM-7,6.5L,12cyl,14,12,16,"$4,350",2,"['PR', 'Tax', 'SS']",2023
18,CHEVROLET,812 GTS,AM-7,6.5L,12cyl,13,12,15,"$4,700",1,"['PR', 'Tax', 'SS']",2023
19,CHEVROLET,Daytona SP3,AM-7,6.5L,12cyl,13,12,16,"$4,700",1,"['PR', 'Tax', 'SS']",2023
20,CHEVROLET,F8 Spider,AM-7,3.9L,8cyl,16,15,18,"$3,800",3,"['PR', 'T', 'Tax', 'SS']",2023
21,CHEVROLET,F8 Tributo,AM-7,3.9L,8cyl,16,15,19,"$3,800",3,"['PR', 'T', 'Tax', 'SS']",2023
22,CHEVROLET,Monza SP1,AM-7,6.5L,12cyl,13,12,15,"$4,700",1,"['PR', 'Tax', 'SS']",2023
23,CHEVROLET,Monza SP2,AM-7,6.5L,12cyl,13,12,15,"$4,700",1,"['PR', 'Tax', 'SS']",2023
24,JAGUAR,F-Type P450 AWD R-Dynamic Convertible,A-S8,5.0L,8cyl,18,16,24,"$3,400",4,"['P', 'S', 'SS']",2023
25,JAGUAR,F-Type P450 AWD R-Dynamic Coupe,A-S8,5.0L,8cyl,18,16,24,"$3,400",4,"['P', 'S', 'SS']",2023
26,JAGUAR,F-Type P450 RWD Convertible,A-S8,5.0L,8cyl,19,17,24,"$3,200",4,"['P', 'S', 'SS']",2023
27,JAGUAR,F-Type P450 RWD Coupe,A-S8,5.0L,8cyl,19,17,24,"$3,200",4,"['P', 'S', 'SS']",2023
28,JAGUAR,F-Type R AWD Convertible,A-S8,5.0L,8cyl,18,16,24,"$3,400",4,"['P', 'S', 'SS']",2023
29,JAGUAR,F-Type R AWD Coupe,A-S8,5.0L,8cyl,18,16,24,"$3,400",4,"['P', 'S', 'SS']",2023
30,LAMBORGHINI,Huracan Coupe,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'CD']",2023
31,LAMBORGHINI,Huracan Coupe 2WD,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'CD']",2023
32,LAMBORGHINI,Huracan Spyder,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'CD']",2023
33,LAMBORGHINI,Huracan Spyder 2WD,AM-S7,5.2L,10cyl,15,13,18,"$4,100",2,"['PR', 'Tax', 'CD']",2023
34,MASERATI,MC20,A-S8,3.0L,6cyl,18,15,25,"$3,400",4,"['PR', 'T']",2023
35,MASERATI,MC20 Spyder,A-S8,3.0L,6cyl,18,15,25,"$3,400",4,"['PR', 'T']",2023
36,MAZDA,MX-5,A-S6,2.0L,4cyl,30,26,35,"$2,050",6,['P'],2023
37,MAZDA,MX-5,M-6,2.0L,4cyl,29,26,34,"$2,100",6,['P'],2023
38,MERCEDES-BENZ,AMG SL43,A-9,2.0L,4cyl,23,21,27,"$2,650",5,"['PR', 'T', 'MHEV', 'SS']",2023
39,NISSAN,Z,A-S9,3.0L,6cyl,22,19,28,"$2,800",5,"['PR', 'T']",2023
40,NISSAN,Z,M-6,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T']",2023
41,PAGANI,Huayra,AM-7,6.0L,12cyl,12,10,15,"$5,100",1,"['P', 'T', 'Tax']",2023
42,PORSCHE,718 Boxster,AM-S7,2.0L,4cyl,24,21,27,"$2,550",5,"['PR', 'T', 'SS']",2023
43,PORSCHE,718 Boxster,M-6,2.0L,4cyl,22,20,25,"$2,800",5,"['PR', 'T', 'SS']",2023
44,PORSCHE,718 Boxster GTS,AM-S7,4.0L,6cyl,21,19,24,"$2,900",4,"['PR', 'T']",2023
45,PORSCHE,718 Boxster GTS,M-6,4.0L,6cyl,19,17,24,"$3,200",4,"['PR', 'T']",2023
46,PORSCHE,718 Boxster S,AM-S7,2.5L,4cyl,22,19,25,"$2,800",5,"['PR', 'T', 'SS']",2023
47,PORSCHE,718 Boxster S,M-6,2.5L,4cyl,21,19,24,"$2,900",4,"['PR', 'T', 'SS']",2023
48,PORSCHE,718 Boxster T,AM-S7,2.0L,4cyl,23,21,27,"$2,650",5,"['PR', 'T', 'SS']",2023
49,PORSCHE,718 Boxster T,M-6,2.0L,4cyl,22,20,26,"$2,800",5,"['PR', 'T', 'SS']",2023
50,PORSCHE,718 Cayman,AM-S7,2.0L,4cyl,24,21,27,"$2,550",5,"['PR', 'T', 'SS']",2023
51,PORSCHE,718 Cayman,M-6,2.0L,4cyl,22,20,25,"$2,800",5,"['PR', 'T', 'SS']",2023
